sku,product_name,stock,cost_price,price
POLAX,"11-006 Пензель ""Стандарт"" 3"" флейц. деревянна руч",10,9.29,12.68
951607,12 Atelie  Шторка сонцезахисна 130 х 60 см Лазер Преміум,17,71.4,99.68
951601,12 Atelie  Шторка сонцезахисна 130 х 60 см срібляста,20,42.0,58.92
951602,12 Atelie  Шторка сонцезахисна 145 х 70 см срібляста,13,54.6,77.08
951603,12 Atelie  Шторка сонцезахисна 150 х 80 см срібляста,20,61.74,86.83
951605,12 Atelie  Шторка-жалюзі сонцезахисна 155 х 70 см срібляста,50,214.03,293.71
952421,12 ATELIE Автоінвертор CPI-1000MS (модифікована синусоїда),5,2003.45,2768.75
952420,12 ATELIE Автоінвертор CPI-500MS (модифікована синусоїда),5,1179.38,1630.24
951803,"12 ATELIE Автомобільний зарядний пристрій 2 USB (12 / 24V - 5V 2,1A) білий",50,89.88,157.26
951805,"12 ATELIE Автомобільний зарядний пристрій 2 USB (12 / 24V - 5V 2,1A) квадрат, білий",50,100.8,141.32
951804,"12 ATELIE Автомобільний зарядний пристрій 2 USB (12 / 24V - 5V 2,1A) чорний",50,100.8,141.32
951808,12 ATELIE Автомобільний зарядний пристрій USB/Tipe-C (12 / 24V - 5V 3A) чорний,16,199.26,289.28
951809,12 ATELIE Автомобільний зарядний пристрій USB/Tipe-C (12 / 24V - 5V 3A) чорний з підсвічуванням,12,226.62,326.05
951802,"12 ATELIE Автомобільний зарядний пристрій КОМПАКТ 2 USB (12 / 24V - 5V 2,1A) чорний",50,99.54,137.77
951801,"12 ATELIE Автомобільний зарядний пристрій КОМПАКТ 2 USB (12/24V - 5V 2,1A) білий",50,85.26,119.17
952400,"12 ATELIE Автопилосос ADV-4500 12 В 120 Вт 4,5 кПа",19,356.81,517.87
952401,"12 ATELIE Автопилосос ADV-4500 7,4 В 120 Вт 4,5 кПа (1800 мАг х 2)",19,594.95,862.52
952402,"12 ATELIE Автопилосос ADV-5800 12 В 100 Вт 5,8 кПа",7,827.01,1199.64
951710,"12 ATELIE Водозгін Rain 20х23 cм (синій, червоний)",3,33.21,48.29
951712,12 ATELIE Водозгін з телескопічною ручкою 58-88 см,26,101.64,142.65
951652,"12 ATELIE Каністра пластикова HDPE для палива 10л з прозорою мірною смугою, лійкою+повітряний клапан",1,266.49,426.17
951651,12 ATELIE Каністра пластикова HDPE для палива 5 л з лійкою,7,215.04,295.04
900420,"12 ATELIE Компресор автомобільний двопоршневий з ліхтарем 45л/хв 8,2 Атм (Кручений шланг, клеми АКБ)",8,1545.6,2161.84
900417,12 ATELIE Компресор автомобільний однопоршневий 25 л / хв 7 Атм,10,449.4,616.21
900421,12 ATELIE Компресор автомобільний однопоршневий з ліхтарем 35 л/хв 10 Атм (Прикурювач),8,1182.3,1653.28
900418,12 ATELIE Компресор автомобільний однопоршневий з отвором для спускання повітря 30 л / хв 7 Атм,6,609.0,835.05
900419,"12 ATELIE Компресор акумуляторний універсальний 20 л / хв 10 Атм (DC 12 В, 1800 мАг x3)",25,924.0,1266.98
951718,12 ATELIE Лопата снігоприбиральна телескопічна 86-110 см,3,176.17,258.71
951542,"12 ATELIE Набір серветок з мікрофібри 35 х 35 см (синя, жовта, червона) КРАТНО 10 наборів",59,54.51,73.1
951540,"12 ATELIE Набір серветок з мікрофібри універсальний 30 х 40 см (синя, рожева, блакитна)",37,59.31,82.84
951904,12 ATELIE Омивач літній коцентрат з ароматом Бабл Гам 50 мл,2,28.47,28.35
951901,12 ATELIE Омивач літній коцентрат з ароматом Манго-Маракуйя 50 мл,17,21.06,28.35
951903,12 ATELIE Омивач літній коцентрат з ароматом Цитрус 50 мл,14,21.06,28.35
951942,12 ATELIE Очищувач для кондиціонерів 450 мл,20,61.95,86.39
951941,12 ATELIE Очищувач-кондиціонер для шкіри 450 мл,13,62.48,86.39
951940,12 ATELIE Поліроль для чорніння шин 500 мл,13,89.46,122.71
951916,12 ATELIE Поліроль приборної панелі глянцева Апельсин 200 мл,24,36.54,50.06
951928,12 ATELIE Поліроль приборної панелі глянцева Апельсин 750 мл,10,92.4,126.7
951912,12 ATELIE Поліроль приборної панелі глянцева Бабл Гам 200 мл,24,36.54,50.06
951924,12 ATELIE Поліроль приборної панелі глянцева Бабл Гам 750 мл,10,92.4,126.7
951910,12 ATELIE Поліроль приборної панелі глянцева Ваніль 200 мл,23,36.54,50.06
951922,12 ATELIE Поліроль приборної панелі глянцева Ваніль 750 мл,15,92.4,126.7
951913,12 ATELIE Поліроль приборної панелі глянцева Вишня 200 мл,24,36.54,50.06
951925,12 ATELIE Поліроль приборної панелі глянцева Вишня 750 мл,10,92.4,126.7
951914,12 ATELIE Поліроль приборної панелі глянцева Зелене яблуко 200 мл,23,36.54,50.06
951926,12 ATELIE Поліроль приборної панелі глянцева Зелене яблуко 750 мл,10,92.4,126.7
951920,12 ATELIE Поліроль приборної панелі глянцева Кава 200 мл,24,36.54,50.06
951932,12 ATELIE Поліроль приборної панелі глянцева Кава 750 мл,12,92.4,126.7
951921,12 ATELIE Поліроль приборної панелі глянцева Кокос 200 мл,24,36.54,50.06
951933,12 ATELIE Поліроль приборної панелі глянцева Кокос 750 мл,12,92.4,126.7
951917,12 ATELIE Поліроль приборної панелі глянцева Лимон 200 мл,24,36.54,50.06
951929,12 ATELIE Поліроль приборної панелі глянцева Лимон 750 мл,17,93.18,126.7
951918,12 ATELIE Поліроль приборної панелі глянцева Нова машина 200 мл,23,36.54,50.06
951930,12 ATELIE Поліроль приборної панелі глянцева Нова машина 750 мл,8,92.4,126.7
951919,12 ATELIE Поліроль приборної панелі глянцева Океан 200 мл,24,36.54,50.06
951931,12 ATELIE Поліроль приборної панелі глянцева Океан 750 мл,12,92.4,126.7
951911,12 ATELIE Поліроль приборної панелі глянцева Персик 200 мл,24,36.54,50.06
951923,12 ATELIE Поліроль приборної панелі глянцева Персик 750 мл,8,92.4,126.7
951915,12 ATELIE Поліроль приборної панелі глянцева Полуниця 200 мл,23,36.54,50.06
951927,12 ATELIE Поліроль приборної панелі глянцева Полуниця 750 мл,11,92.4,126.7
900222,12 ATELIE Пристрій зарядний 10А 12В цифровий імпульсний,4,1512.0,2015.65
900220,12 ATELIE Пристрій зарядний 4А 12В цифровий імпульсний,10,840.0,1065.41
900221,12 ATELIE Пристрій зарядний 6А 12В цифровий імпульсний,10,1302.0,1670.11
951821,12 ATELIE Розгалужувач прикурювача 2 виходи + 1 USB (12V - 5V 1A),17,190.26,260.93
951501,12 ATELIE Серветка (штучна замша) в тубусі 43 x 32 см,99,32.34,45.63
951502,12 ATELIE Серветка (штучна замша) в тубусі 65 x 43 см,94,61.37,86.38
951530,12 ATELIE Серветка з мікрофібри 30 х 30 см (сіра),170,13.44,19.05
951532,12 ATELIE Серветка з мікрофібри 30 х 40 см (синя),195,18.48,26.14
951534,12 ATELIE Серветка з мікрофібри 40 х 40 см (червона),94,24.36,34.55
951536,12 ATELIE Серветка з мікрофібри для полірування 30 х 40 см (рожева),192,21.0,29.24
951538,12 ATELIE Серветка з мікрофібри для скла 30 х 40 см (блакитний),155,19.74,27.47
951545,12 ATELIE Серветка з мікрофібри та PVA (гібридна) 43 х 32 см (синя),113,48.77,67.78
951704,12 ATELIE Скребок Nord 29 см (синій),77,31.19,46.52
951702,12 ATELIE Скребок Ontario 19х10 см (рожевий),63,18.63,26.58
951703,12 ATELIE Скребок Quebec 10х10 см (зелений),14,11.34,15.5
951701,12 ATELIE Скребок Yukon 17х10 см (червоний),20,13.02,17.72
951944,12 ATELIE Спрей-піна для очищення текстилю 750 мл,7,75.6,103.66
951643,12 ATELIE Сумка-органайзер для автомобіля 18л 35х18х29 см,12,153.0,211.31
951641,12 ATELIE Сумка-органайзер для автомобіля 20л 50х16х26 см,17,166.01,230.36
951645,12 ATELIE Сумка-органайзер для автомобіля 50л 53х38х25 см,21,302.13,458.51
951849,12 ATELIE Тримач для телефону затиск на гнучкій ніжці з присоскою (до 110 мм),7,74.76,115.18
951846,12 ATELIE Тримач для телефону магнітний на дефлектор (коло),9,127.26,174.54
951845,12 ATELIE Тримач для телефону магнітний на дефлектор (трикутник),10,129.78,178.09
951604,12 Atelie Шторка сонцезахисна 145 х 70 см Лазер Преміум,5,105.0,147.08
951606,12 Atelie Шторка сонцезахисна 150 х 80 см Лазер Преміум,18,98.7,138.22
951733,12 ATELIE Щітка для миття автомобілів 41 см,4,113.4,159.92
951734,12 ATELIE Щітка для миття автомобілів 45 см з клапаном,8,137.76,194.48
951738,12 ATELIE Щітка для миття автомобілів телескопічна 65 - 100 см з клапаном (щітка + ручка),9,190.26,268.9
951736,12 ATELIE Щітка для миття автомобілів телескопічна 78 - 130 см (щітка + ручка),2,170.52,240.55
951740,12 ATELIE Щітка для миття автомобілів телескопічна 98 - 168 см з клапаном (щітка + ручка),10,273.0,385.85
951723,12 ATELIE Щітка зі скребком Helsinki 60 см (червоний / синій),42,160.6,217.51
951721,12 ATELIE Щітка зі скребком Stockholm 54х10 см (зелений),18,47.88,65.56
951720,12 ATELIE Щітка зі скребком Toronto 40х9 см (червоний),17,43.26,59.36
951726,12 ATELIE Щітка зі скребком Vilnius 62х11 см (блакитний),3,99.96,139.99
POLAX,53-005 Картридж для протихім. респіратора,3,13.75,13.75
POLAX,53-006 Картридж для протипилевого респіратора,1,7.75,7.75
AB003,Akfix Ukraine Герметик бітумний 602 (чорний) 310 мл,24,130.69,133.34
AA102,Akfix Ukraine Герметик поліуретановий автомобільний P645 (білий) 310 мл,12,148.41,151.51
AA106,Akfix Ukraine Герметик поліуретановий автомобільний P645 (сірий) 310 мл,12,148.41,151.51
AA103,Akfix Ukraine Герметик поліуретановий автомобільний P645 (чорний) 310 мл,12,148.41,151.51
GA060.B,Akfix Ukraine Клей для дерева і МДФ з активатором 200 мл + 50 мл,12,86.83,88.6
GA066,Akfix Ukraine Клей для дерева і МДФ з активатором 500 мл + 125 мл,6,163.02,166.12
112932,Al-Ko Снігоприбиральник SnowLine 46 E,1,7000.0,8500.0
СВ-R16,APRO Cкоба якірна 16х43 мм (пач. 100 шт.),50,31.95,46.07
480281,"APRO New Захисна маска ZMI-2000, сітка",8,220.68,287.95
815163,APRO PRO Бур по бетону SDS+ HQ S4 Ø10x110 мм,12,33.73,46.07
815164,APRO PRO Бур по бетону SDS+ HQ S4 Ø10x160 мм,13,34.02,48.29
815165,APRO PRO Бур по бетону SDS+ HQ S4 Ø10x210 мм,16,36.96,50.5
815166,APRO PRO Бур по бетону SDS+ HQ S4 Ø10x260 мм,14,42.15,60.69
815167,APRO PRO Бур по бетону SDS+ HQ S4 Ø10x310 мм,10,48.3,66.45
815169,APRO PRO Бур по бетону SDS+ HQ S4 Ø10x460 мм,9,64.8,92.14
815170,APRO PRO Бур по бетону SDS+ HQ S4 Ø10x600 мм,12,87.67,120.94
815176,APRO PRO Бур по бетону SDS+ HQ S4 Ø12x160 мм,11,38.25,51.83
815177,APRO PRO Бур по бетону SDS+ HQ S4 Ø12x210 мм,10,40.38,54.93
815178,APRO PRO Бур по бетону SDS+ HQ S4 Ø12x260 мм,13,47.9,66.45
815179,APRO PRO Бур по бетону SDS+ HQ S4 Ø12x310 мм,3,52.65,74.87
815180,APRO PRO Бур по бетону SDS+ HQ S4 Ø12x460 мм,5,71.4,97.9
815181,APRO PRO Бур по бетону SDS+ HQ S4 Ø12x600 мм,8,86.1,118.28
815185,APRO PRO Бур по бетону SDS+ HQ S4 Ø14x210 мм,13,55.92,77.97
815186,APRO PRO Бур по бетону SDS+ HQ S4 Ø14x260 мм,3,67.2,92.14
815189,APRO PRO Бур по бетону SDS+ HQ S4 Ø14x460 мм,8,85.0,115.18
815190,APRO PRO Бур по бетону SDS+ HQ S4 Ø14x600 мм,6,113.4,161.25
815194,APRO PRO Бур по бетону SDS+ HQ S4 Ø16x210 мм,7,64.8,92.14
815195,APRO PRO Бур по бетону SDS+ HQ S4 Ø16x260 мм,5,79.76,112.52
815196,APRO PRO Бур по бетону SDS+ HQ S4 Ø16x310 мм,2,91.3,126.7
815198,APRO PRO Бур по бетону SDS+ HQ S4 Ø16x460 мм,4,123.0,172.77
815199,APRO PRO Бур по бетону SDS+ HQ S4 Ø16x600 мм,8,142.62,201.56
815203,APRO PRO Бур по бетону SDS+ HQ S4 Ø18x260 мм,7,89.73,126.7
815204,APRO PRO Бур по бетону SDS+ HQ S4 Ø18x310 мм,1,106.25,143.98
815205,APRO PRO Бур по бетону SDS+ HQ S4 Ø18x460 мм,1,148.75,201.57
815206,APRO PRO Бур по бетону SDS+ HQ S4 Ø18x600 мм,8,158.93,224.6
815213,APRO PRO Бур по бетону SDS+ HQ S4 Ø20x460 мм,6,171.5,241.88
815214,APRO PRO Бур по бетону SDS+ HQ S4 Ø20x600 мм,2,215.8,299.47
815220,APRO PRO Бур по бетону SDS+ HQ S4 Ø22x460 мм,5,222.4,299.47
815221,APRO PRO Бур по бетону SDS+ HQ S4 Ø22x600 мм,3,279.4,380.09
815223,APRO PRO Бур по бетону SDS+ HQ S4 Ø24x460 мм,2,276.25,374.33
815224,APRO PRO Бур по бетону SDS+ HQ S4 Ø24x600 мм,3,343.03,472.24
815228,APRO PRO Бур по бетону SDS+ HQ S4 Ø25x460 мм,2,296.7,397.37
